,reco_id,time_reco,id_sender,id_reciever,id_product,product_bought,ListPrice-Amount,brand,productnature,family,Review-AverageRating,DisplayPrice-Amount,age_sender,address_sender,age_reciever,address_reciever
4860,68b31020-44f4-49f6-a9dc-7694946785ba,2014-09-03 14:27:35,66641396-de88-4d00-b51d-c0dd8265a94c,01ba0eca-6156-47e2-b168-1e3f65815205,8665808,1,29.99,ARTENGO,ZAPATILLAS,CALZADO HOMBRE MULTICANCHA INIC/PERFECC,4.3,29.99,17,"15680 Robinson Mall
Lake Mackenzie, NC 83230",27,"Unit 9479 Box 4188
DPO AE 33020"
6927,ad46e486-08f0-41b1-8d2c-d015e401a211,2016-10-08 03:59:30,fc7aedd3-04a7-4524-9da8-d7a80d577caa,01ba0eca-6156-47e2-b168-1e3f65815205,8746770,1,49.99,BABOLAT,Raqueta,RAQUETAS ADULTO INICIACIÓN/PERFECCIONAM,4.5,49.99,19,"40392 Bell Walks
Mayborough, FL 13409",27,"Unit 9479 Box 4188
DPO AE 33020"
1014,0bd8086a-c901-47ac-8bf3-4f625e3fcbef,1999-07-06 04:05:14,84f27bd9-0d26-4f84-b585-cca0e4bbd1d5,01ba0eca-6156-47e2-b168-1e3f65815205,8741545,1,89.99,ASICS,ZAPATILLAS,CALZADO HOMBRE MULTICANCHA INIC/PERFECC,4.5,59.99,17,"1761 Scott Cliffs Apt. 308
Lake Katherine, GA 99021",27,"Unit 9479 Box 4188
DPO AE 33020"
1304,14421056-07d2-44df-b048-3460caa1bdc4,1992-01-03 20:44:32,df8492a7-a27e-47b6-b705-1d468e43c839,01ba0eca-6156-47e2-b168-1e3f65815205,1091517,0,34.99,YASAKA,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.0,24.99,17,"31869 James Branch
Davidchester, ID 91031",27,"Unit 9479 Box 4188
DPO AE 33020"
3719,a1164ea5-56a7-4e0f-b580-2f05d64d950d,1993-11-23 08:15:36,c8e9b7f0-08b2-4fb8-b29a-abed728ce060,01ba0eca-6156-47e2-b168-1e3f65815205,8621580,0,54.99,ASICS,ZAPATILLAS,CALZADO MUJER MULTICANCHA INIC/PERFECC,4.6,39.99,28,"59982 Jessica Pass
Wayneborough, ND 18719",27,"Unit 9479 Box 4188
DPO AE 33020"
2208,5ca9f117-8fd7-4099-80fb-bd33da170409,1992-06-07 03:50:26,24e7e378-5b7a-4b0c-891a-cdd7f1b45f2b,01ba0eca-6156-47e2-b168-1e3f65815205,8550462,1,39.99,ARTENGO,ZAPATILLAS,CALZADO TENIS JÚNIOR,4.5,39.99,17,"848 Sharon Trafficway
East Haley, MT 56864",27,"Unit 9479 Box 4188
DPO AE 33020"
6817,3630d739-dc7e-4b9d-b1ba-3f5181b16204,1982-06-02 10:31:19,12d817b3-9b0a-470f-8e25-e4ad09f0e756,01ba0eca-6156-47e2-b168-1e3f65815205,8487830,1,69.99,ARTENGO,ZAPATILLAS,CALZADO HOMBRE MULTICANCHA EXPERTO,4.1,69.99,32,"28549 Gregory Hills
Port Tammy, ME 20330",27,"Unit 9479 Box 4188
DPO AE 33020"
5199,0affee22-c27a-4c4e-8fed-345a79ff6157,1979-12-01 06:34:02,f6f2cca1-db34-4cac-9e60-aa0629d7cd71,01ba0eca-6156-47e2-b168-1e3f65815205,8576167,1,15.99,ARTENGO,Bolsa de deporte para raquetas,BOLSAS TENIS,5.0,15.99,36,"3791 Sanchez Rest
East Joseph, IL 83214",27,"Unit 9479 Box 4188
DPO AE 33020"
617,b19b1978-0a40-4b01-93f7-aca6910484cd,1981-05-12 09:17:51,92e83262-ac2b-492d-8827-19848eecb81b,01ba0eca-6156-47e2-b168-1e3f65815205,8608193,0,2.99,ARTENGO,CORDONES,ACCESORIOS CALZADO TENIS,4.4,2.99,29,"1556 Fisher Locks
Johnsonfort, HI 85757",27,"Unit 9479 Box 4188
DPO AE 33020"
2003,cf6ec4ef-4cbf-46da-be01-9d0c9376ddfb,1977-07-12 09:51:43,ad55324b-21e5-422d-809d-3687b3e71b1e,01ba0eca-6156-47e2-b168-1e3f65815205,8543009,1,19.99,PONGORI,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.8,19.99,39,"640 Vanessa Vista
Lake Annville, TN 59551",27,"Unit 9479 Box 4188
DPO AE 33020"
